cal_week;act_tests1;positiv1;positiv_per_tests1;in_perc1;plan_tests2;positiv2;in_perc2;labs_total
KW10;124716;3892;0,03;3,1;1100000;34328;3,1;90
KW 11;127457;7582;0,06;5,9;1100000;65435;5,9;114
KW 12;348619;23820;0,07;6,8;1100000;75159;6,8;152
KW 13;361515;31414;0,09;8,7;1100000;95585;8,7;151
KW 14;408348;36885;0,09;9;1100000;99360;9;154
KW 15;380197;30791;0,08;8,1;1100000;89086;8,1;164
KW 16;331902;22082;0,07;6,7;1100000;73185;6,7;168
KW 17;363890;18083;0,05;5;1100000;54663;5;178
KW 18;326788;12608;0,04;3,9;1100000;42440;3,9;175
KW 19;403875;10755;0,03;2,7;1100000;29292;2,7;182
KW 20;432666;7233;0,02;1,7;1100000;18389;1,7;183
KW 21;353467;5218;0,01;1,5;1100000;16239;1,5;179
KW 22;405269;4310;0,01;1,1;1100000;11698;1,1;178
KW 23;340986;3208;0,01;0,9;1100000;10349;0,9;176
KW 24;327196;2816;0,01;0,86;1100000;9467;0,9;173
KW 25;388187;5316;0,01;1,37;1100000;15064;1,4;176
KW 26;467413;3689;0,01;0,8;1100000;8682;0,8;180
KW 27;507663;3104;0,01;0,61;1100000;6726;0,6;152
KW 28;510551;2992;0,01;0,59;1100000;6446;0,6;179
KW 29;538701;3497;0,01;0,65;1100000;7141;0,6;177
KW 30;574883;4539;0,01;0,98;1100000;8685;1;170
KW 31;586620;5738;0,01;0,98;1100000;10760;1;170
KW 32;736171;7335;0,01;1;1100000;10960;1;169
KW 33;857761;8351;0,01;0,97;1100000;10709;1;188
KW 34;1092013;9206;0,01;0,84;1100000;9273;0,8;199
KW 35;1121214;8324;0,01;0,74;1100000;8167;0,7;192
KW 36;1099608;8175;0,01;0,74;1100000;8178;0,7;192
KW 37;1165275;10047;0,01;0,86;1100000;9484;0,9;193
KW 38;1146193;13253;0,01;1,16;1100000;12719;1,2;203
KW 39;1168016;14295;0,01;1,22;1100000;13463;1,2;190
KW 40;1101080;18279;0,02;1,66;1100000;18261;1,7;192
KW 41;1213658;30519;0,03;2,48;1100000;27661;2,5;182
KW 42;1280500;43927;0,03;3,43;1300000;44596;3,4;182
KW 43;1409437;77575;0,06;5,5;1300000;71552;5,5;182
KW 44;1626132;116411;0,07;7,2;1300000;93064;7,2;182
KW 45;1597697;125626;0,08;7,9;1300000;102218;7,9;182
KW 46;1384943;124582;0,09;9;1300000;116941;9;182
KW 47;1363701;127330;0,09;9,3;1300000;121382;9,3;182
KW 48;1343157;124687;0,09;9,3;1300000;120681;9,3;182
KW 49;1308629;133681;0,1;10,2;1300000;132800;10,2;182
KW 50;1503685;170141;0,1;11,3;1300000;147094;11,3;182
KW 51;1578209;184156;0,1;11,7;1300000;151693;11,7;182
