Datum;R_Wert
26.09.20;1,11
27.09.20;1,12
28.09.20;1,13
29.09.20;1,15
30.09.20;1,19
01.10.20;1,23
02.10.20;1,28
03.10.20;1,32
04.10.20;1,37
05.10.20;1,39
06.10.20;1,39
07.10.20;1,39
08.10.20;1,35
09.10.20;1,32
10.10.20;1,29
11.10.20;1,3
12.10.20;1,31
13.10.20;1,34
14.10.20;1,37
15.10.20;1,38
16.10.20;1,38
17.10.20;1,38
18.10.20;1,41
19.10.20;1,43
20.10.20;1,45
21.10.20;1,43
22.10.20;1,39
23.10.20;1,33
24.10.20;1,28
25.10.20;1,25
26.10.20;1,2
27.10.20;1,16
28.10.20;1,12
29.10.20;1,08
30.10.20;1,06
31.10.20;1,05
01.11.20;1,05
02.11.20;1,04
03.11.20;1,04
04.11.20;1,03
05.11.20;1,01
06.11.20;0,99
07.11.20;0,99
08.11.20;0,98
09.11.20;1,01
10.11.20;1,03
